F,n,x0,force_x,force_y,abs(force),max_height
0.1,2.2,0.2,10.6358,-1.97174,10.817,3.49381
0.25,2.2,0.2,6.02071,-1.18818,6.13684,2.58932
0.5,2.2,0.2,3.93309,-0.794629,4.01255,2.07792
1,2.2,0.2,2.64149,-0.539203,2.69596,1.69171
0.05,2.3,0.2,16.1686,-2.73601,16.3985,4.39493
0.1,2.3,0.2,10.7051,-1.97221,10.8852,3.50552
0.25,2.3,0.2,6.04403,-1.19019,6.1601,2.59532
0.5,2.3,0.2,3.94296,-0.796159,4.02254,2.08131
1,2.3,0.2,2.64562,-0.54017,2.70021,1.69348
0.05,2.4,0.2,16.3084,-2.72791,16.535,4.41374
0.1,2.4,0.2,10.7709,-1.97188,10.9499,3.51645
0.25,2.4,0.2,6.06605,-1.19179,6.18202,2.60105
0.5,2.4,0.2,3.95228,-0.797468,4.03193,2.08435
1,2.4,0.2,2.64952,-0.541021,2.70419,1.69509
0.05,2.5,0.2,16.448,-2.72064,16.6715,4.43107
0.1,2.5,0.2,10.8349,-1.97142,11.0128,3.52688
0.25,2.5,0.2,6.08739,-1.19323,6.20324,2.60641
0.5,2.5,0.2,3.96129,-0.79866,4.041,2.0873
1,2.5,0.2,2.65328,-0.541801,2.70804,1.69673
0.05,2.6,0.2,16.583,-2.71392,16.8036,4.44754
0.1,2.6,0.2,10.8973,-1.97121,11.0741,3.53711
0.25,2.6,0.2,6.10807,-1.19465,6.22381,2.6113
0.5,2.6,0.2,3.97,-0.799808,4.04976,2.09016
1,2.6,0.2,2.65692,-0.542543,2.71175,1.69829
0.05,2.7,0.2,16.7124,-2.70717,16.9302,4.46281
0.1,2.7,0.2,10.9566,-1.97075,11.1324,3.54718
0.25,2.7,0.2,6.12769,-1.19588,6.24329,2.616
0.5,2.7,0.2,3.97825,-0.800842,4.05805,2.09301
1,2.7,0.2,2.66036,-0.54322,2.71525,1.69977
0.05,2.8,0.2,16.8347,-2.69939,17.0497,4.47659
0.1,2.8,0.2,11.0128,-1.96971,11.1876,3.55656
0.25,2.8,0.2,6.1462,-1.19683,6.26165,2.62071
0.5,2.8,0.2,3.98603,-0.801724,4.06586,2.09569
1,2.8,0.2,2.6636,-0.543817,2.71855,1.70114
0.05,2.9,0.2,16.9537,-2.69267,17.1662,4.4903
0.1,2.9,0.2,11.0668,-1.96887,11.2406,3.56483
0.25,2.9,0.2,6.16388,-1.19777,6.27918,2.62536
0.5,2.9,0.2,3.99344,-0.802566,4.07329,2.09806
1,2.9,0.2,2.66669,-0.544384,2.72168,1.7024
0.05,3,0.2,17.0712,-2.68653,17.2813,4.5042
0.1,3,0.2,11.12,-1.96815,11.2928,3.57276
0.25,3,0.2,6.18127,-1.19867,6.29643,2.6295
0.5,3,0.2,4.00073,-0.803372,4.08059,2.10034
1,3,0.2,2.66972,-0.544922,2.72476,1.7037
0.05,3.1,0.2,17.1854,-2.67937,17.393,4.51788
0.1,3.1,0.2,11.1713,-1.96669,11.3431,3.58047
0.25,3.1,0.2,6.198,-1.19925,6.31295,2.63334
0.5,3.1,0.2,4.00772,-0.804011,4.08758,2.10263
1,3.1,0.2,2.67263,-0.545379,2.72771,1.70502
0.05,3.2,0.2,17.2956,-2.67255,17.5008,4.52972
0.1,3.2,0.2,11.2202,-1.96523,11.391,3.58822
