F,n,x0,force_x,force_y,abs(force),max_height
0.1,4,0.2,32.0919,-2.46614,32.1865,4.33702
0.25,4,0.2,15.5223,-1.26823,15.5741,2.98917
0.5,4,0.2,9.37931,-0.800506,9.4134,2.30214
1,4,0.2,5.95962,-0.529477,5.9831,1.81541
0.05,0,0.3,47.1988,-1.3098,47.217,5.31718
0.1,0,0.3,27.9079,-1.0414,27.9273,4.06473
0.25,0,0.3,14.3495,-0.762543,14.3698,2.88149
0.5,0,0.3,8.991,-0.601747,9.01112,2.25532
1,0,0.3,5.86854,-0.477747,5.88796,1.79982
0.05,0.1,0.3,37.1057,-3.28034,37.2504,4.89488
0.1,0.1,0.3,22.9728,-2.21536,23.0793,3.78915
0.25,0.1,0.3,12.4879,-1.3286,12.5584,2.73374
0.5,0.1,0.3,8.10427,-0.918527,8.15616,2.1672
1,0.1,0.3,5.44534,-0.652783,5.48433,1.74968
0.05,0.2,0.3,33.8799,-4.14706,34.1328,4.58141
0.1,0.2,0.3,21.6508,-2.74431,21.824,3.60216
0.25,0.2,0.3,12.1103,-1.58405,12.2135,2.64824
0.5,0.2,0.3,7.95431,-1.05937,8.02454,2.12229
1,0.2,0.3,5.38138,-0.729084,5.43055,1.72658
0.05,0.3,0.3,33.0253,-4.70527,33.3588,4.32761
0.1,0.3,0.3,21.473,-3.08378,21.6933,3.47386
0.25,0.3,0.3,12.1375,-1.7446,12.2623,2.6097
0.5,0.3,0.3,7.98369,-1.14619,8.06555,2.10786
1,0.3,0.3,5.39712,-0.775303,5.45253,1.7208
